AIRPORT,YEAR,AVG_ADD_ASMA,N_VALID,REGION
SBBR,2021,4.040425996474881,39058,BRA
SBBR,2022,3.589931550801728,46343,BRA
SBCF,2021,3.369405509657608,25357,BRA
SBCF,2022,4.020037415104197,33791,BRA
SBCT,2021,4.462469998989616,13634,BRA
SBCT,2022,4.868760410853387,21222,BRA
SBGL,2021,2.3395389763260335,14484,BRA
SBGL,2022,2.2413284964806133,17085,BRA
SBGR,2021,3.888122472205554,72221,BRA
SBGR,2022,4.251198349870999,91354,BRA
SBKP,2021,3.7831979410030745,27516,BRA
SBKP,2022,5.058191795450791,32611,BRA
SBPA,2021,3.9863659897411736,999,BRA
SBPA,2022,2.822194243842076,1261,BRA
SBRJ,2021,3.833526021453065,27078,BRA
SBRJ,2022,4.900431234373293,42078,BRA
SBSP,2021,3.913907386414879,43865,BRA
SBSP,2022,6.116517750338345,71080,BRA
SBSV,2021,3.5493869390981527,20368,BRA
SBSV,2022,3.66229666239065,23757,BRA
SBBR,2019,2.4343130003924,36836,BRA
SBBR,2020,2.050383414104681,25928,BRA
SBCF,2019,2.5907703877410233,24401,BRA
SBCF,2020,2.637671106355641,19084,BRA
SBCT,2019,2.584637661234447,15790,BRA
SBCT,2020,2.4204093946729293,12085,BRA
SBGL,2019,2.755030641336677,26173,BRA
SBGL,2020,2.899774818055603,18528,BRA
SBGR,2019,4.253377909820047,70935,BRA
SBGR,2020,4.599153390159968,54071,BRA
SBKP,2019,3.0935759755168015,26852,BRA
SBKP,2020,3.4338495586567,22359,BRA
SBPA,2019,2.1721178802480563,15092,BRA
SBPA,2020,2.5968316051069897,10284,BRA
SBRJ,2019,2.967270210141394,23326,BRA
SBRJ,2020,2.991388580493621,18700,BRA
SBSP,2019,3.5879727904515564,50899,BRA
SBSP,2020,3.873423595850817,39154,BRA
SBSV,2019,1.8592698571614537,14072,BRA
SBSV,2020,1.9715391848929469,10354,BRA
