ICAO,YEAR,ARRS,DEPS,TOT
SBGL,2022,26212,26209,52421
SBGR,2022,126097,126097,252194
SBSV,2022,39109,39323,78432
SBCF,2022,46939,46917,93856
SBPA,2022,34170,34171,68341
SBCT,2022,28831,28820,57651
SBSP,2022,101348,101406,202754
SBBR,2022,69745,69708,139453
SBKP,2022,65986,66040,132026
SBRJ,2022,57509,57485,114994
SBGL,2023,31709,31660,63369
SBGR,2023,138431,138375,276806
SBSV,2023,38768,38883,77651
SBRJ,2023,61624,61605,123229
SBCF,2023,49476,49480,98956
SBSP,2023,116182,116185,232367
SBPA,2023,36471,36463,72934
SBCT,2023,30286,30280,60566
SBBR,2023,74384,74388,148772
SBKP,2023,63054,63053,126107
