ICAO,YEAR,TOT_FLTS_YEAR
SBBR,2019,145504
SBBR,2020,84004
SBBR,2021,107040
SBBR,2022,129164
SBBR,2023,83209
SBCF,2019,101193
SBCF,2020,46196
SBCF,2021,66244
SBCF,2022,90756
SBCF,2023,56580
SBCT,2019,66610
SBCT,2020,29215
SBCT,2021,34730
SBCT,2022,55726
SBCT,2023,34494
SBGL,2019,104123
SBGL,2020,41563
SBGL,2021,38661
SBGL,2022,49269
SBGL,2023,31729
SBGR,2019,287872
SBGR,2020,156639
SBGR,2021,188694
SBGR,2022,242023
SBGR,2023,156308
SBKP,2019,114474
SBKP,2020,73567
SBKP,2021,105178
SBKP,2022,128124
SBKP,2023,74281
SBPA,2019,75018
SBPA,2020,36031
SBPA,2021,47818
SBPA,2022,64922
SBPA,2023,40737
SBRJ,2019,93680
SBRJ,2020,54712
SBRJ,2021,71741
SBRJ,2022,108511
SBRJ,2023,74254
SBSP,2019,207523
SBSP,2020,90702
SBSP,2021,118352
SBSP,2022,189140
SBSP,2023,127795
SBSV,2019,73532
SBSV,2020,45675
SBSV,2021,63412
SBSV,2022,72652
SBSV,2023,41373
